name,description,exchange,industry,close,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
XHLD,"TEN Holdings, Inc.",NASDAQ,Miscellaneous Commercial Services,12.53,4.77,9.53,9.53,3371691.0,7403896.933333334,92770829.0,217.22,1,952.94,1,735.33,1,635.16,17.07,True,True,True
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,23.58,16.52,7.28,7.89,963862.3,1949143.1666666667,45960796.0,17.31,38,80.0,9,331.87,3,143.06,5.41,False,True,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,27.62,15.95,7.87,6.72,10860109.100000001,7585631.733333333,209515148.0,114.77,4,88.28,7,195.09,13,132.71,10.88,True,True,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,40.25,28.41,6.57,6.26,1188125.3,1609450.3,64780375.0,20.15,30,135.11,2,213.72,9,122.99,6.66,False,True,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,567.29,448.9,5.41,5.88,13009127.2,7876900.0666666655,4468486639.0,23.52,24,47.35,36,275.69,5,115.52,4.49,False,False,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,74.57,73.41,5.1,7.76,2316884.1,2305821.566666667,171945114.0,1.76,120,-7.71,228,346.53,2,113.53,0.2,False,False,True
CDNA,"CareDx, Inc.",NASDAQ,Medical Specialties,50.26,42.41,4.83,4.54,1115294.5,1214720.5,61051852.0,5.88,93,113.6,4,203.69,10,107.72,4.08,False,True,True
ETON,"Eton Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,57.08,49.5,4.89,5.5,489363.5,601482.8333333334,34332640.0,35.94,12,77.71,10,199.16,12,104.27,2.78,True,True,True
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,112.79,106.21,4.42,4.37,842671.3,898516.1,101343631.0,1.71,121,36.04,52,244.19,6,93.98,1.42,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.38,0.81,17.29,14.79,172196256.3,61905699.333333336,85429865.0,121.15,3,74.68,12,85.41,60,93.75,4.79,True,True,False
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,31.62,25.38,5.52,6.17,1623736.1,3152655.7,99686973.0,32.52,15,127.48,3,118.07,32,92.69,3.99,True,True,False
