name,description,exchange,industry,close,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
XHLD,"TEN Holdings, Inc.",NASDAQ,Miscellaneous Commercial Services,9.43,5.06,18.08,17.47,3319958.0,7756146.4,73140461.0,68.39,5,588.32,1,578.42,1,411.71,4.95,True,True,True
USDE,StablecoinX Inc.,NASDAQ,Packaged Software,6.12,3.89,22.04,19.98,3631293.6,6846121.533333333,41898264.0,136.29,1,505.94,2,-37.23,409,201.67,2.87,True,True,False
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,40.28,29.22,6.27,6.4,1290240.4,1605369.3333333333,64664277.0,14.95,35,153.17,3,271.24,4,146.46,5.91,False,True,True
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,23.26,17.03,7.68,8.01,954072.6,1939182.7,45105390.0,-5.75,170,57.59,28,349.03,2,133.62,4.56,False,False,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,27.57,16.56,7.54,6.91,10225395.900000002,8084927.166666668,222901442.0,119.86,2,76.05,15,184.23,12,126.71,9.62,True,True,True
CDNA,"CareDx, Inc.",NASDAQ,Medical Specialties,52.64,43.34,4.48,4.33,1018530.7,1082655.9,56991007.0,11.92,48,125.83,4,207.84,10,115.19,4.96,False,True,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,543.51,454.33,5.73,6.25,13745410.3,8187302.599999999,4449880836.0,9.58,59,31.92,72,270.78,5,104.09,3.14,False,False,True
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,33.15,25.99,5.18,5.83,1590033.4,3160511.9,104770969.0,48.32,7,119.25,6,137.12,24,101.56,4.73,True,True,False
PLSE,"Pulse Biosciences, Inc",NASDAQ,Medical Specialties,55.2,40.89,7.37,7.06,822392.6,555131.5,30643259.0,24.04,19,121.6,5,148.87,18,98.17,4.95,True,True,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,12.99,15.3,5.43,7.86,1659679.9,2996901.6333333333,38929752.0,-35.11,428,56.69,30,264.89,6,95.49,-1.92,False,False,True
TEAM,Atlassian Corporation,NASDAQ,Packaged Software,189.81,138.07,4.8,4.92,3145646.0,4808701.966666667,912739720.0,14.2,38,116.95,7,155.22,16,95.46,7.62,False,True,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,67.12,72.28,6.08,8.81,2440522.1,2258526.533333333,151592301.0,-12.43,253,-23.12,301,316.64,3,93.7,-0.81,False,False,True
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,110.82,107.03,4.33,4.26,956157.9,870498.7,96468666.0,0.19,113,31.54,73,236.33,8,89.35,0.83,False,False,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,11.38,10.63,5.96,6.97,2528964.9,3710430.6666666665,42224701.0,-10.18,228,21.65,102,255.62,7,89.03,1.01,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.32,0.83,18.86,14.37,153435548.9,63005304.233333334,83167002.0,106.28,3,64.4,24,91.3,57,87.33,4.08,True,False,False
ETON,"Eton Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,54.93,50.24,4.82,5.61,443294.3,599503.3666666667,32930720.0,0.0,118,69.28,20,190.02,11,86.43,1.66,False,True,True
OKTA,"Okta, Inc.",NASDAQ,Packaged Software,190.45,150.59,5.13,5.06,3756147.4,3713023.1333333333,707145256.0,21.94,23,65.49,22,141.53,21,76.32,5.24,True,True,True
NEO,"NeoGenomics, Inc.",NASDAQ,Medical/Nursing Services,18.89,16.0,4.74,4.38,1515913.0,1703315.0,32175620.0,15.32,32,72.59,18,140.18,22,76.03,4.12,False,True,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,50.08,54.52,8.59,9.14,945525.9,853534.3,42744998.0,-6.76,180,-3.11,203,234.76,9,74.96,-0.89,False,False,True
GTLB,GitLab Inc.,NASDAQ,Packaged Software,49.1,39.29,4.58,4.85,7682670.5,5446302.3,267413443.0,12.33,47,79.39,14,118.22,33,69.98,5.15,False,True,False
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,17.47,13.92,6.31,6.23,7995054.1,5556151.833333333,97065973.0,7.91,66,98.52,8,86.25,64,64.23,4.09,False,True,False
CVI,CVR Energy Inc.,NYSE,Oil Refining/Marketing,52.17,37.24,4.92,4.74,1230444.9,1019565.2333333333,53190718.0,45.64,8,83.37,11,55.59,99,61.54,8.47,True,True,False
CLMT,"Calumet, Inc",NASDAQ,Oil Refining/Marketing,57.55,46.14,4.01,3.99,1325475.1,1269710.3666666667,73071832.0,17.76,27,72.98,17,93.06,55,61.27,6.2,False,True,False
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,11.2,8.62,10.96,9.92,23030073.0,21481567.866666667,240593560.0,65.68,6,12.9,134,96.15,51,58.24,3.02,True,False,False
HPE,Hewlett Packard Enterprise Company,NYSE,Computer Processing Hardware,55.88,51.65,5.73,6.53,35358053.0,22442834.233333353,1254105577.0,-7.61,191,12.89,135,163.21,14,56.17,1.26,False,False,True
HTFL,"Heartflow, Inc.",NASDAQ,Packaged Software,48.33,35.96,5.11,5.24,1865909.7,2088517.6333333333,100938057.0,23.73,21,49.4,38,93.32,54,55.48,6.56,True,False,False
OSCR,"Oscar Health, Inc.",NYSE,Managed Health Care,32.44,30.67,5.23,5.44,4867244.1,5582281.766666667,181089221.0,5.5,83,14.57,130,145.57,20,55.21,1.06,False,False,True
DK,"Delek US Holdings, Inc.",NYSE,Oil Refining/Marketing,78.14,66.32,5.3,5.32,2114263.9,1747041.0333333334,136513786.0,14.21,37,75.63,16,69.87,78,53.24,3.35,False,True,False
