name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
USDE,StablecoinX Inc.,NASDAQ,Packaged Software,6.2,5.42,3.97,21.48,18.79,3273085.9,6872735.533333333,42610960.0,37271990.0,115.28,3,513.86,2,-36.41,426,197.58,3.0,True,True,False
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,563.31,482.02,457.25,5.61,6.02,13352090.799999999,8335021.833333332,4695201149.0,4017633332.0,13.42,39,31.04,76,244.53,6,96.33,3.85,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.11,15.79,15.24,5.48,7.68,1616733.1,2657212.8666666667,34836061.0,41948977.0,-29.4,439,57.01,32,260.16,5,95.92,-1.82,False,False,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,69.51,68.07,71.95,5.87,8.37,2432559.7,2254389.3333333335,156702603.0,153452525.0,-19.8,357,-19.48,292,305.54,3,88.75,-0.4,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.27,0.93,0.84,19.87,14.37,105235489.0,63431887.96666667,80558498.0,58930338.0,115.25,4,52.83,37,86.22,58,84.77,3.52,True,False,False
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,111.81,114.7,107.38,4.24,4.12,909793.7,849919.0,95029443.0,97487692.0,-2.77,154,35.0,64,214.96,9,82.4,1.0,False,False,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,10.84,11.69,10.64,6.33,7.31,2493925.5,3528187.7,38245555.0,41260391.0,-12.01,245,23.89,93,234.57,7,82.15,0.26,False,False,True
ETON,"Eton Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,56.35,56.32,50.61,4.64,5.35,420442.3,599312.1,33771237.0,33751160.0,-4.73,171,69.17,23,163.32,13,75.92,2.12,False,True,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,48.93,49.52,54.15,8.86,9.04,916186.5,841629.1,41180912.0,41678735.0,-9.49,220,-5.2,227,216.9,8,67.4,-1.07,False,False,True
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,34.08,32.52,29.8,4.63,5.02,1739754.6,2101327.8,71613251.0,68345336.0,5.22,90,77.32,14,118.32,30,66.95,2.86,False,True,False
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,17.29,14.94,14.03,6.41,6.21,8060959.7,5662798.366666666,97909784.0,84587107.0,15.27,34,96.7,8,85.12,59,65.7,3.74,False,True,False
DK,"Delek US Holdings, Inc.",NYSE,Oil Refining/Marketing,79.16,69.53,66.86,5.05,5.2,2080871.1,1754148.8666666667,138858424.0,121973572.0,20.8,23,89.83,11,78.05,70,62.89,3.53,True,True,False
PBF,PBF Energy Inc.,NYSE,Oil Refining/Marketing,75.93,71.73,67.93,5.36,5.86,3838889.3,3160654.1333333333,239988468.0,226728471.0,4.11,98,105.05,7,61.24,85,56.8,2.01,False,True,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.66,2.55,2.45,5.72,6.19,24450807.900000036,19915420.033333343,52975017.0,50777683.0,8.57,63,0.38,192,158.25,17,55.73,1.37,False,False,True
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,11.44,9.92,8.68,10.93,9.67,22114552.8,21736015.133333333,248660013.0,215603157.0,57.58,6,14.97,128,94.23,53,55.59,3.28,True,False,False
HPE,Hewlett Packard Enterprise Company,NYSE,Computer Processing Hardware,56.71,54.92,51.91,5.78,6.37,35109113.5,22152263.50000002,1256254863.0,1216498934.0,-4.27,168,15.32,127,152.83,18,54.63,1.45,False,False,True
OSCR,"Oscar Health, Inc.",NYSE,Managed Health Care,32.34,31.0,30.69,5.37,5.7,4956798.7,5676798.3,183587657.0,175961825.0,0.37,125,13.2,137,144.08,19,52.55,0.94,False,False,True
ORKA,"Oruka Therapeutics, Inc.",NASDAQ,Pharmaceuticals: Major,93.55,99.39,95.89,5.13,5.45,702412.0,770507.5666666667,72080983.0,76583315.0,-15.12,293,27.8,86,140.43,20,51.03,-0.45,False,False,True
CHYM,"Chime Financial, Inc.",NASDAQ,Packaged Software,31.25,32.28,28.18,4.55,5.04,8111496.9,9349355.533333333,292167360.0,301756683.0,-1.98,145,87.13,12,63.44,81,49.53,2.16,False,True,False
NAVN,"Navan, Inc.",NASDAQ,Packaged Software,22.53,27.36,26.75,6.26,6.91,5665189.1,3302990.533333333,74416377.0,90360463.0,-22.44,394,5.53,169,161.37,14,48.15,-2.28,False,False,True
MRVL,"Marvell Technology, Inc.",NASDAQ,Semiconductors,229.71,224.18,215.75,4.63,6.41,18105496.2,22285885.4,5119290735.0,4996161218.0,0.86,121,-24.8,324,158.39,16,44.82,1.01,False,False,True
XMTR,"Xometry, Inc.",NASDAQ,Information Technology Services,93.15,89.75,90.69,4.69,4.87,627304.1,565212.6333333333,52649557.0,50728776.0,-3.23,159,2.34,181,133.87,22,44.33,0.56,False,False,True
APPN,Appian Corporation,NASDAQ,Packaged Software,37.5,37.09,32.55,5.44,5.59,993166.4,916098.2,34353682.0,33978082.0,7.43,68,74.99,17,47.23,110,43.22,2.72,False,True,False
OMER,Omeros Corporation,NASDAQ,Pharmaceuticals: Major,17.34,17.4,14.7,4.71,5.0,1365491.4,2079023.1333333333,36050261.0,36164607.0,0.99,119,71.85,20,56.64,95,43.16,3.59,False,True,False
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,48.24,52.95,56.45,4.97,7.19,1184706.9,1452244.4333333333,70056271.0,76896343.0,-25.33,423,-23.96,321,173.16,11,41.29,-2.02,False,False,True
TEM,"Tempus AI, Inc.",NASDAQ,Packaged Software,69.97,60.57,56.28,6.16,6.26,5673284.1,6953340.166666667,486525211.0,421189309.0,36.87,9,40.36,58,44.57,120,40.6,3.89,True,False,False
